Cluster,K
De Dintel,-0.1
Tonnekreek,0.02
Bloemendaalse polder,-0.1
Geluk,-0.07
Visvliet,0.04
Oude Prinslandse Polder,0.06
Willemspolder,0.08
Den Biggelaar,-0.36
Zonzeel,0.16
Laakdijk/Schuivenoord,0.3
Heerjansland/Zellebergen,0.55
Triangelpolder/Kruisland,0.24
Hogediep,-0.08
Leurschans,-0.06
Goudbloem,0.48
Endekweek,0.61
Westpolder,0.58
Zwartenbergse polder,-0.07
De Halse Vliet,0.75
Rooskensdonk/Kraaiennest,-0.2
Haagse Beemden,0.3
Vuchtpolder,1.28
Hoge Vucht,1.22
Westland,0.25
