Eind,Bloemendaalse polder,De Dintel,De Halse Vliet,Den Biggelaar,Endekweek,Geluk,Goudbloem,Haagse Beemden,Heerjansland/Zellebergen,Hoge Vucht,Hogediep,Laakdijk/Schuivenoord,Leurschans,Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Tonnekreek,Triangelpolder/Kruisland,Visvliet,Vuchtpolder,Westpolder,Willemspolder,Zonzeel,Zwartenbergse polder
2016-01-01,0.0788,0.0894,0.1177,0.0777,0.0611,0.1883,0.0452,0.2262,0.0585,0.2811,0.2094,0.0893,0.1482,0.0585,0.0911,0.0637,0.0441,0.1771,0.2396,0.0876,0.07,0.0741,0.0647
2016-01-02,5.2508,6.1173,5.8338,5.3053,4.9186,6.9853,5.3796,6.5373,5.5415,6.9287,6.5998,6.2451,6.621,6.3604,6.2589999999999995,6.0404,6.1233,7.0931,6.6776,5.0206,6.4654,5.6202,5.2783
2016-01-03,9.1939,12.7198,9.2814,9.2382,9.0642,12.7549,9.3178,8.8175,10.2966,8.6045,12.1552,9.6149,13.1499,13.3571,9.5007,12.6377,12.8056,13.3752,8.9208,9.3319,13.3058,10.0738,9.2579
2016-01-04,3.7646,3.6091,3.7261,4.0463,3.2935,2.9811,3.2356,3.9619,2.9478,3.6204,2.1812,4.1530000000000005,2.1406,2.7464,3.9739999999999998,3.8623,2.2762,2.4189,3.99,3.5125,3.3246,4.6408,3.8232
2016-01-05,0.5174,0.2794,0.1932,0.4267,0.2439,0.3244,0.33899999999999997,0.2944,0.506,0.2674,0.9809,0.2897,0.6177,0.1282,0.3604,0.523,0.1474,0.4512,0.22399999999999998,0.3002,0.0534,0.3307,0.408
2016-01-06,0.8013,1.7964,1.7474,0.727,0.8202,1.4588,1.3741,0.9005,1.7081,1.3268,0.49,0.6121,0.9804,1.7748,1.0614,1.2526,2.3051,1.1657,0.9352,0.9135,1.7093,0.6296,0.7331
2016-01-07,12.3987,12.7376,12.7082,13.4999,12.1336,12.6079,12.525,12.9829,12.7502,13.2898,11.6733,13.8327,11.9029,12.7381,12.8368,12.7657,12.600999999999999,12.5452,13.9924,12.4499,12.3162,13.5722,12.8587
2016-01-08,0.4012,0.1964,0.0924,0.6504,0.0088,0.0021,0.0009,0.1644,0.0209,0.1273,0.0,1.05,0.0,0.0479,0.775,0.4159,0.0019,0.0,0.46299999999999997,0.0419,0.0155,0.7397,0.1789
2016-01-09,0.8024,1.541,0.2543,0.2989,0.2673,2.0421,0.4094,0.3181,0.9835,0.3294,1.7212,0.2434,1.6142,1.7453,0.2836,1.4245,1.4266,1.9285,0.3819,0.2154,1.933,0.2334,0.2367
2016-01-10,3.4467,2.8865,2.314,3.5684,2.4037,2.7291,2.8445,2.6642,2.806,3.8717,2.4443,2.7304,2.2035,2.6528,2.3488,3.3403,2.6744,2.5364,3.0695,2.1441,2.7169,4.5278,2.716
2016-01-11,4.7753,6.4222,5.1313,4.7668,4.3259,6.2998,4.3803,5.9134,5.6853,6.5203,5.7093,5.7738,5.547999999999999,6.1452,5.4821,6.235,5.8988,6.1454,6.0926,4.7993,6.2346,5.7237,4.7131
2016-01-12,8.0986,7.7758,6.5794,8.7293,6.8104,6.3547,6.3379,5.9331,7.0155,5.2161,5.5149,8.5098,6.0414,6.2658,7.4543,8.7292,6.8097,5.6062,5.9477,6.4219,6.6457,10.7709,7.0832
2016-01-13,6.3262,6.5132,6.2498,6.2946,6.6883,4.2578,6.5578,7.5703,6.8448,7.8436,2.2095,7.5947,2.5054,5.3442,7.5238,6.9226,3.6207,2.9675,7.4567,7.0051,6.189,7.6628,5.9827
2016-01-14,7.3024,7.8571,8.6487,8.1749,7.9241,7.1832,7.1994,9.5236,6.5542,9.0726,6.655,10.7065,6.3711,6.8845,9.8646,7.9956,5.6426,6.6822,9.8567,8.3256,7.6337,10.3386,8.5701
2016-01-15,14.5317,18.0955,10.229,10.151,14.9144,20.0409,17.0156,7.93,16.4732,6.6668,21.1265,6.8257,21.6867,18.2631,7.812,18.2196,18.7916,21.7875,6.505,13.0392,18.0216,7.5597,11.2221
2016-01-16,2.9604,2.9529,4.058,4.0432,2.7701,3.0581,2.9589999999999996,5.1284,2.6257,5.0441,5.3834,5.2182,4.4123,2.5312,4.8862,3.4560000000000004,2.7331,3.5724,5.3561,3.5448,2.5731,4.9475,3.8925
2016-01-17,0.015,0.0442,0.4442,0.2119,0.0163,0.0534,0.0002,0.5123,0.0514,0.4851,0.1875,0.4017,0.1168,0.0753,0.5336,0.0056,0.0192,0.0421,0.4542,0.1673,0.0998,0.2862,0.321
2016-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,0.6013,0.5005,0.5747,0.5286,0.4502,0.1719,0.6719,0.4603,0.4644,0.9717,0.0263,0.7826,0.1309,0.1942,0.3916,0.6578,0.2782,0.2696,1.0267,0.5581,0.1763,0.7774,0.6667
2016-01-20,0.0353,0.2106,0.0,0.0,0.0019,0.6149,0.1017,0.0867,0.3219,0.0823,0.0739,0.2333,0.1813,0.6353,0.0702,0.1242,0.4842,0.5021,0.1873,0.0,0.5683,0.2392,0.0
2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
