﻿
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Begin,Eind,Kwaliteit,Bloemendaalse polder,Kwaliteit van Bloemendaalse polder,De Dintel,Kwaliteit van De Dintel,De Halse Vliet,Kwaliteit van De Halse Vliet,Den Biggelaar,Kwaliteit van Den Biggelaar,Endekweek,Kwaliteit van Endekweek,Geluk,Kwaliteit van Geluk,Goudbloem,Kwaliteit van Goudbloem,Haagse Beemden,Kwaliteit van Haagse Beemden,Heerjansland/Zellebergen,Kwaliteit van Heerjansland/Zellebergen,Hoge Vucht,Kwaliteit van Hoge Vucht,Hogediep,Kwaliteit van Hogediep,Laakdijk/Schuivenoord,Kwaliteit van Laakdijk/Schuivenoord,Leurschans,Kwaliteit van Leurschans,Oude Prinslandse Polder,Kwaliteit van Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Kwaliteit van Rooskensdonk/Kraaiennest,Tonnekreek,Kwaliteit van Tonnekreek,Triangelpolder/Kruisland,Kwaliteit van Triangelpolder/Kruisland,Visvliet,Kwaliteit van Visvliet,Vuchtpolder,Kwaliteit van Vuchtpolder,Westpolder,Kwaliteit van Westpolder,Willemspolder,Kwaliteit van Willemspolder,Zonzeel,Kwaliteit van Zonzeel,Zwartenbergse polder,Kwaliteit van Zwartenbergse polder
21-01-2020 00:00:00,22-01-2020 00:00:00,HydroNET D2,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
22-01-2020 00:00:00,23-01-2020 00:00:00,HydroNET D2,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
23-01-2020 00:00:00,24-01-2020 00:00:00,HydroNET D2,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
24-01-2020 00:00:00,25-01-2020 00:00:00,HydroNET D2,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
25-01-2020 00:00:00,26-01-2020 00:00:00,HydroNET D2,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
26-01-2020 00:00:00,27-01-2020 00:00:00,HydroNET D2,0.75,27,1.08,27,1.36,27,0.92,27,0.69,27,1.5,27,0.65,27,1.82,27,0.78,27,1.79,27,1.84,27,1.13,27,1.25,27,1.05,27,1.25,27,1.08,27,1.05,27,1.46,27,1.75,27,1.12,27,1.06,27,1.13,27,1.02,27
27-01-2020 00:00:00,28-01-2020 00:00:00,HydroNET D2,6.75,27,7.7,27,8.13,27,7,27,5.38,27,7.75,27,6.5,27,10.6,27,7.2,27,11.8,27,7.17,27,9.87,27,7.53,27,7.85,27,9.86,27,7.97,27,7.76,27,7.49,27,11.44,27,6.88,27,7.91,27,8.47,27,6.67,27
28-01-2020 00:00:00,29-01-2020 00:00:00,HydroNET D2,5.65,27,6.16,27,9.56,27,6.4,27,7.28,27,6.18,27,6.7,27,11.36,27,6.95,27,11.2,27,6.1,27,7.63,27,6.06,27,6.17,27,8.69,27,6.31,27,6.97,27,6.12,27,10.51,27,10.1,27,6.45,27,5.61,27,7.66,27
29-01-2020 00:00:00,30-01-2020 00:00:00,HydroNET D2,0,27,0,27,0.07,27,0.01,27,0.03,27,0,27,0.05,27,0.07,27,0.03,27,0.11,27,0,27,0.07,27,0,27,0.01,27,0,27,0,27,0,27,0,27,0.01,27,0.1,27,0,27,0.1,27,0.09,27
30-01-2020 00:00:00,31-01-2020 00:00:00,HydroNET D2,0.02,27,0.01,27,0.12,27,0.03,27,0.08,27,0.02,27,0.1,27,0.18,27,0.09,27,0.24,27,0.04,27,0.03,27,0.05,27,0.04,27,0.06,27,0.01,27,0.07,27,0.04,27,0.12,27,0.1,27,0.03,27,0.01,27,0.09,27
31-01-2020 00:00:00,01-02-2020 00:00:00,HydroNET C2,0,25,0,25,0.01,25,0,25,0,25,0,25,0,25,0.07,25,0,25,0.08,25,0,25,0.01,25,0.03,25,0,25,0,25,0,25,0.01,25,0,25,0.04,25,0,25,0,25,0,25,0,25
01-02-2020 00:00:00,02-02-2020 00:00:00,HydroNET C2,0.61,25,0.74,25,0.87,25,0.65,25,0.59,25,0.78,25,0.55,25,0.93,25,0.63,25,0.93,25,0.51,25,0.78,25,0.43,25,0.59,25,0.9,25,0.89,25,0.52,25,0.6,25,1,25,0.84,25,0.74,25,0.68,25,0.82,25
