Eind,Bloemendaalse polder,De Dintel,De Halse Vliet,Den Biggelaar,Endekweek,Geluk,Goudbloem,Haagse Beemden,Heerjansland/Zellebergen,Hoge Vucht,Hogediep,Laakdijk/Schuivenoord,Leurschans,Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Tonnekreek,Triangelpolder/Kruisland,Visvliet,Vuchtpolder,Westpolder,Willemspolder,Zonzeel,Zwartenbergse polder
2016-01-02,0.0209,0.0427,0.0392,0.0119,0.0362,0.0468,0.0389,0.0105,0.0387,0.0022,0.0591,0.0171,0.0521,0.0344,0.024,0.0384,0.0479,0.0398,0.0161,0.0421,0.0474,0.0138,0.0257
2016-01-03,0.0942,0.1138,0.1513,0.0936,0.1315,0.1101,0.1297,0.0977,0.1204,0.0768,0.1197,0.1244,0.1209,0.10099999999999999,0.1496,0.1117,0.1282,0.0994,0.1337,0.1501,0.1191,0.1091,0.1208
2016-01-04,0.1312,0.1492,0.2027,0.1333,0.1754,0.1376,0.1719,0.1359,0.1567,0.1086,0.1391,0.1764,0.1449,0.1318,0.2079,0.1484,0.1596,0.1262,0.1902,0.198,0.1501,0.1587,0.1639
2016-01-05,0.0724,0.09,0.0937,0.064,0.0915,0.0912,0.0938,0.0604,0.0957,0.0481,0.1009,0.07,0.1041,0.0878,0.0835,0.0829,0.1097,0.0883,0.07,0.0976,0.0942,0.0649,0.0796
2016-01-06,0.0988,0.1106,0.1652,0.1012,0.1345,0.1023,0.1286,0.1062,0.1146,0.0894,0.105,0.1363,0.1074,0.1007,0.1538,0.1073,0.1141,0.0967,0.1539,0.1557,0.1108,0.1198,0.126
2016-01-07,0.0031,0.0061,-0.0085,-0.0005,-0.0013,0.0096,-0.0021,0.0001,-0.0022,-0.0022,0.0114,-0.0004,0.0047,0.0027,-0.0066,0.0063,-0.0056,0.0072,-0.0097,-0.0054,0.0063,0.0001,-0.0018
2016-01-08,0.11199999999999999,0.1303,0.1346,0.1161,0.1225,0.1276,0.1195,0.1095,0.1233,0.1029,0.1244,0.1289,0.1248,0.1218,0.1375,0.1221,0.1275,0.1222,0.1318,0.1302,0.126,0.129,0.1228
2016-01-09,0.1324,0.1719,0.2338,0.1337,0.1937,0.1594,0.188,0.1539,0.1716,0.166,0.1637,0.2034,0.1691,0.1461,0.2485,0.161,0.18,0.1409,0.2369,0.2228,0.175,0.1822,0.1699
2016-01-10,0.0634,0.0722,0.1175,0.0698,0.0945,0.065,0.0873,0.0875,0.0765,0.09699999999999999,0.0644,0.1123,0.0695,0.0641,0.1337,0.0682,0.0776,0.0602,0.1408,0.1107,0.0714,0.09300000000000001,0.0869
2016-01-11,0.1861,0.1827,0.2801,0.2045,0.2508,0.1552,0.2418,0.1933,0.2168,0.1436,0.1552,0.2418,0.1712,0.1635,0.2917,0.1763,0.2127,0.1365,0.2559,0.2816,0.1645,0.2199,0.2514
2016-01-12,0.0413,0.0482,0.0419,0.0409,0.0452,0.0453,0.0458,0.0372,0.0472,0.031,0.0464,0.0407,0.0467,0.0432,0.0399,0.0454,0.0492,0.0414,0.031,0.0467,0.0444,0.0408,0.0448
2016-01-13,0.1381,0.1431,0.182,0.153,0.1669,0.1256,0.1599,0.1438,0.1443,0.1149,0.1205,0.1748,0.1231,0.1217,0.1958,0.1406,0.1405,0.1096,0.1699,0.1812,0.1262,0.1691,0.1725
2016-01-14,0.1376,0.1499,0.1812,0.1444,0.1682,0.1311,0.1581,0.1357,0.1479,0.1136,0.1257,0.155,0.1286,0.1293,0.1781,0.1459,0.141,0.1122,0.158,0.1819,0.1342,0.1453,0.1673
2016-01-15,0.0972,0.1156,0.1193,0.0995,0.11900000000000001,0.1082,0.1184,0.0954,0.11599999999999999,0.0788,0.1156,0.1059,0.1307,0.1099,0.1188,0.111,0.1214,0.0962,0.1049,0.1244,0.1143,0.0992,0.113
2016-01-16,0.0235,0.0338,0.0258,0.0219,0.0245,0.0346,0.0254,0.024,0.0276,0.0225,0.0466,0.0243,0.0405,0.0329,0.0216,0.0309,0.0324,0.0333,0.0202,0.0259,0.0332,0.0222,0.0255
2016-01-17,0.1305,0.1749,0.1535,0.1201,0.1549,0.1386,0.1562,0.1067,0.1598,0.0866,0.2019,0.1293,0.1876,0.1535,0.1452,0.165,0.1755,0.1402,0.1196,0.1629,0.1599,0.1207,0.1402
2016-01-18,0.028999999999999998,0.0525,0.0387,0.0223,0.039,0.0497,0.0402,0.0249,0.0395,0.0225,0.0697,0.0334,0.0574,0.0413,0.0384,0.0491,0.0429,0.0473,0.0348,0.0415,0.0466,0.0264,0.028999999999999998
2016-01-19,0.0199,0.0302,0.0238,0.0167,0.0239,0.0277,0.0246,0.0174,0.0244,0.016,0.0345,0.0213,0.0309,0.0246,0.0235,0.0274,0.0257,0.0266,0.0214,0.0248,0.0268,0.0184,0.02
2016-01-20,0.015,0.0202,0.0214,0.0144,0.0197,0.0163,0.0196,0.0168,0.0185,0.0161,0.0207,0.019,0.0191,0.0159,0.0211,0.0181,0.0184,0.0151,0.0202,0.0215,0.0174,0.0157,0.0173
2016-01-21,0.0177,0.0224,0.0278,0.017,0.0242,0.0182,0.0235,0.0192,0.0213,0.0165,0.0252,0.0216,0.0221,0.0176,0.0268,0.021,0.021,0.0158,0.0232,0.027999999999999997,0.0204,0.0174,0.0221
2016-01-22,0.0008,0.0027,0.0031,0.0001,0.0024,0.0021,0.0021,0.0007,0.0018,0.0002,0.0049,0.0017,0.0034,0.0014,0.0028,0.002,0.0023,0.0022,0.0022,0.0032,0.0017,0.0002,0.0012
2016-01-23,0.0482,0.0635,0.064,0.0468,0.0612,0.0539,0.0617,0.0457,0.0606,0.0373,0.0654,0.0545,0.0603,0.0526,0.0602,0.0594,0.0625,0.0466,0.0526,0.0664,0.0597,0.0484,0.0576
2016-01-24,0.0305,0.0389,0.0276,0.0277,0.0296,0.0324,0.0317,0.0241,0.0378,0.0177,0.0399,0.0237,0.0348,0.0319,0.0189,0.0376,0.0367,0.0259,0.016,0.0298,0.0386,0.0262,0.0335
