﻿
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Begin,Eind,Kwaliteit,Bloemendaalse polder,Kwaliteit van Bloemendaalse polder,De Dintel,Kwaliteit van De Dintel,De Halse Vliet,Kwaliteit van De Halse Vliet,Den Biggelaar,Kwaliteit van Den Biggelaar,Endekweek,Kwaliteit van Endekweek,Geluk,Kwaliteit van Geluk,Goudbloem,Kwaliteit van Goudbloem,Haagse Beemden,Kwaliteit van Haagse Beemden,Heerjansland/Zellebergen,Kwaliteit van Heerjansland/Zellebergen,Hoge Vucht,Kwaliteit van Hoge Vucht,Hogediep,Kwaliteit van Hogediep,Laakdijk/Schuivenoord,Kwaliteit van Laakdijk/Schuivenoord,Leurschans,Kwaliteit van Leurschans,Oude Prinslandse Polder,Kwaliteit van Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Kwaliteit van Rooskensdonk/Kraaiennest,Tonnekreek,Kwaliteit van Tonnekreek,Triangelpolder/Kruisland,Kwaliteit van Triangelpolder/Kruisland,Visvliet,Kwaliteit van Visvliet,Vuchtpolder,Kwaliteit van Vuchtpolder,Westpolder,Kwaliteit van Westpolder,Willemspolder,Kwaliteit van Willemspolder,Zonzeel,Kwaliteit van Zonzeel,Zwartenbergse polder,Kwaliteit van Zwartenbergse polder
01-12-2019 00:00:00,02-12-2019 00:00:00,Ongekalibreerd,0.03,0,0.04,0,0.03,0,0.03,0,0.03,0,0.04,0,0.03,0,0.02,0,0.03,0,0.02,0,0.05,0,0.02,0,0.04,0,0.03,0,0.03,0,0.03,0,0.04,0,0.04,0,0.03,0,0.03,0,0.03,0,0.02,0,0.03,0
02-12-2019 00:00:00,03-12-2019 00:00:00,Ongekalibreerd,0.05,0,0.07,0,0.06,0,0.05,0,0.06,0,0.06,0,0.06,0,0.04,0,0.06,0,0.03,0,0.07,0,0.05,0,0.07,0,0.05,0,0.06,0,0.06,0,0.06,0,0.06,0,0.05,0,0.06,0,0.05,0,0.05,0,0.05,0
03-12-2019 00:00:00,04-12-2019 00:00:00,Ongekalibreerd,0.02,0,0.03,0,0.03,0,0.02,0,0.03,0,0.03,0,0.02,0,0.02,0,0.02,0,0.02,0,0.03,0,0.02,0,0.03,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.03,0,0.02,0,0.02,0,0.02,0
04-12-2019 00:00:00,05-12-2019 00:00:00,Ongekalibreerd,0.01,0,0.02,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0
05-12-2019 00:00:00,06-12-2019 00:00:00,Ongekalibreerd,0.01,0,0.02,0,0.02,0,0.01,0,0.02,0,0.02,0,0.02,0,0.01,0,0.02,0,0.01,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.01,0,0.01,0
06-12-2019 00:00:00,07-12-2019 00:00:00,Ongekalibreerd,0.08,0,0.09,0,0.1,0,0.08,0,0.09,0,0.08,0,0.09,0,0.07,0,0.08,0,0.06,0,0.08,0,0.08,0,0.09,0,0.08,0,0.1,0,0.08,0,0.09,0,0.08,0,0.09,0,0.1,0,0.08,0,0.08,0,0.08,0
07-12-2019 00:00:00,08-12-2019 00:00:00,Ongekalibreerd,0.25,0,0.27,0,0.39,0,0.28,0,0.32,0,0.25,0,0.31,0,0.24,0,0.28,0,0.19,0,0.25,0,0.32,0,0.3,0,0.23,0,0.39,0,0.26,0,0.3,0,0.24,0,0.36,0,0.37,0,0.22,0,0.29,0,0.26,0
08-12-2019 00:00:00,09-12-2019 00:00:00,Ongekalibreerd,0.34,0,0.37,0,0.54,0,0.38,0,0.45,0,0.32,0,0.44,0,0.33,0,0.39,0,0.26,0,0.35,0,0.45,0,0.4,0,0.31,0,0.56,0,0.36,0,0.41,0,0.31,0,0.51,0,0.52,0,0.3,0,0.41,0,0.37,0
09-12-2019 00:00:00,10-12-2019 00:00:00,Ongekalibreerd,0.19,0,0.21,0,0.26,0,0.2,0,0.24,0,0.19,0,0.23,0,0.17,0,0.21,0,0.13,0,0.18,0,0.21,0,0.23,0,0.18,0,0.26,0,0.19,0,0.23,0,0.18,0,0.22,0,0.26,0,0.17,0,0.2,0,0.19,0
10-12-2019 00:00:00,11-12-2019 00:00:00,Ongekalibreerd,0.21,0,0.23,0,0.3,0,0.23,0,0.27,0,0.2,0,0.25,0,0.19,0,0.24,0,0.16,0,0.19,0,0.26,0,0.25,0,0.19,0,0.31,0,0.22,0,0.25,0,0.2,0,0.27,0,0.3,0,0.18,0,0.24,0,0.22,0
11-12-2019 00:00:00,12-12-2019 00:00:00,Ongekalibreerd,0.08,0,0.1,0,0.11,0,0.08,0,0.11,0,0.09,0,0.1,0,0.07,0,0.1,0,0.05,0,0.09,0,0.09,0,0.11,0,0.08,0,0.11,0,0.09,0,0.11,0,0.09,0,0.09,0,0.12,0,0.08,0,0.08,0,0.08,0
12-12-2019 00:00:00,13-12-2019 00:00:00,Ongekalibreerd,0.1,0,0.11,0,0.15,0,0.1,0,0.13,0,0.11,0,0.12,0,0.09,0,0.11,0,0.08,0,0.11,0,0.13,0,0.13,0,0.1,0,0.15,0,0.1,0,0.13,0,0.1,0,0.13,0,0.14,0,0.09,0,0.12,0,0.1,0
13-12-2019 00:00:00,14-12-2019 00:00:00,Ongekalibreerd,0.1,0,0.12,0,0.1,0,0.1,0,0.1,0,0.11,0,0.1,0,0.1,0,0.11,0,0.1,0,0.11,0,0.09,0,0.12,0,0.11,0,0.09,0,0.1,0,0.12,0,0.11,0,0.1,0,0.1,0,0.1,0,0.09,0,0.1,0
14-12-2019 00:00:00,15-12-2019 00:00:00,Ongekalibreerd,0.19,0,0.22,0,0.29,0,0.21,0,0.22,0,0.21,0,0.22,0,0.2,0,0.23,0,0.17,0,0.21,0,0.26,0,0.26,0,0.2,0,0.31,0,0.2,0,0.26,0,0.2,0,0.26,0,0.27,0,0.19,0,0.24,0,0.22,0
15-12-2019 00:00:00,16-12-2019 00:00:00,Ongekalibreerd,0.2,0,0.25,0,0.35,0,0.22,0,0.26,0,0.23,0,0.26,0,0.21,0,0.26,0,0.17,0,0.24,0,0.29,0,0.31,0,0.22,0,0.36,0,0.21,0,0.29,0,0.21,0,0.3,0,0.31,0,0.2,0,0.27,0,0.24,0
16-12-2019 00:00:00,17-12-2019 00:00:00,Ongekalibreerd,0.07,0,0.09,0,0.08,0,0.07,0,0.08,0,0.08,0,0.08,0,0.06,0,0.08,0,0.05,0,0.08,0,0.07,0,0.1,0,0.08,0,0.08,0,0.07,0,0.09,0,0.08,0,0.07,0,0.08,0,0.07,0,0.07,0,0.07,0
17-12-2019 00:00:00,18-12-2019 00:00:00,Ongekalibreerd,0.16,0,0.19,0,0.33,0,0.19,0,0.23,0,0.17,0,0.21,0,0.2,0,0.22,0,0.15,0,0.18,0,0.28,0,0.24,0,0.17,0,0.35,0,0.17,0,0.24,0,0.16,0,0.3,0,0.29,0,0.15,0,0.24,0,0.21,0
